repo,Unknown,Good First Issue,Beginner,Intermediate,Advanced
.github,1,0,0,0,0
awesome-contributions,1,0,0,0,0
governance,8,0,0,0,0
heka-identity-platform,1,0,0,0,0
hiero,2,0,0,0,0
hiero-block-node,262,4,0,0,0
hiero-cli,98,0,0,0,0
hiero-consensus-node,620,3,0,0,0
hiero-did-sdk-js,2,3,0,0,0
hiero-did-sdk-python,1,0,0,0,0
hiero-docs,16,0,0,0,0
hiero-enterprise-java,4,0,0,0,0
hiero-gradle-conventions,9,0,0,0,0
hiero-hederium,3,0,0,0,0
hiero-json-rpc-relay,86,0,0,0,0
hiero-local-node,18,0,0,0,0
hiero-mirror-node,106,2,0,0,0
hiero-mirror-node-explorer,34,0,0,0,0
hiero-sdk-cpp,2,6,2,4,6
hiero-sdk-go,17,0,0,0,0
hiero-sdk-java,16,0,0,0,0
hiero-sdk-js,9,7,4,4,6
hiero-sdk-python,1,4,5,5,11
hiero-sdk-rust,29,0,0,0,0
hiero-sdk-swift,1,2,10,14,8
hiero-sdk-tck,22,0,0,0,0
hiero-solo-action,7,0,0,0,0
hiero-website,0,0,1,5,0
homebrew-tools,1,0,0,0,0
sdk-collaboration-hub,15,0,0,0,0
solo,210,0,0,0,0
solo-docs,25,0,0,0,0
tsc,5,0,0,0,0
